galaxy,n_points,distance_mpc,low_point_fit,log10_M200,log10_rs,M200,rs,chi2_red,success,status,nfev,hit_lower_mass,hit_upper_mass,hit_lower_rs,hit_upper_rs
UGC06917,11,18.0,False,11.518275111171114,1.2481814650640044,329818575160.85767,17.708487329766832,0.8034895551100408,True,2,9,False,False,False,False
UGC06930,10,18.0,False,11.168806414432987,0.9994975319136148,147504888774.3154,9.988436935127222,0.2773892585120098,True,2,7,False,False,False,False
UGC06973,9,18.0,False,12.045869981079779,1.999999999999986,1111398947267.4524,99.99999999999677,90.97880090849053,True,2,10,False,False,False,True
UGC06983,17,18.0,False,11.197973919670606,0.9269121756078464,157751653355.16492,8.451079275036147,0.5967545818684297,True,2,7,False,False,False,False
UGC07089,12,18.0,False,12.016823853179428,1.9999999999999998,1039498466969.1301,99.99999999999994,0.3576489556903316,True,4,12,False,False,False,True
UGC07125,13,19.8,False,10.634423811504336,1.1584137934208616,43094695013.67152,14.401701110083915,0.8534600299691477,True,2,10,False,False,False,False
UGC07151,11,6.87,False,10.793550433331887,0.8583746473618075,62165643468.1548,7.21729816301229,2.923762577387243,True,2,11,False,False,False,False
UGC07323,10,8.0,False,12.320845393878159,1.9999999999999998,2093367097581.118,99.99999999999994,0.8304800668240138,True,4,10,False,False,False,True
UGC07399,10,8.43,False,11.139559486093841,0.7674978629347036,137898482205.7178,5.854608553925273,1.0135291073126116,True,2,7,False,False,False,False
UGC07524,31,4.74,False,11.233222907507344,1.2964192402979462,171089322882.32596,19.78879002426886,0.806917323195804,True,2,8,False,False,False,False
UGC07577,9,2.59,False,10.226207579231247,1.9999999999999867,16834785190.830147,99.99999999999693,0.19607226391902774,True,2,13,False,False,False,True
UGC07603,12,4.7,False,10.97400411241534,0.9774206789816977,94189851549.30931,9.493375931265941,1.5146242227057136,True,2,10,False,False,False,False
UGC07608,8,8.21,False,12.408923021399632,1.9999999999999942,2564029522574.8003,99.99999999999866,0.4624418593105783,True,3,11,False,False,False,True
UGC08286,17,6.5,False,10.808718020826117,0.7033094319403802,64375115437.35413,5.050209935190366,2.4520192761562196,True,2,8,False,False,False,False
UGC08490,30,4.65,False,10.609856801531539,0.5033343406362389,40724597580.89346,3.1866498128958214,0.11242574567878987,True,2,8,False,False,False,False
